hsa:7159	TP53BP2, 53BP2, ASPP2, BBP, P53BP2, PPP1R13A; apoptosis-stimulating of p53 protein 2 isoform 1
hsa:9540	TP53I3, PIG3; quinone oxidoreductase PIG3 isoform 1
hsa:56475	RPRM, REPRIMO; protein reprimo
hsa:8626	TP63, AIS, B(p51A), B(p51B), EEC3, KET, LMS, NBP, OFC8, RHS, SHFM4, TP53CP, TP53L, TP73L, p40, p51, p53CP, p63, p73H, p73L; tumor protein 63 isoform 1
hsa:8507	ENC1, CCL28, ENC-1, KLHL35, KLHL37, NRPB, PIG10, TP53I10; ectoderm-neural cortex protein 1 isoform 1
hsa:100507194	LINC02525, TP53LC14, lncNB1; long intergenic non-protein coding RNA 2525, transcript variant 2
hsa:64065	PERP, EKVP7, KCP1, KRTCAP1, OLMS2, PIGPC1, THW, dJ496H19.1; p53 apoptosis effector related to PMP-22
hsa:8379	MAD1L1, MAD1, MVA7, PIG9, TP53I9, TXBP181; mitotic spindle assembly checkpoint protein MAD1 isoform a
hsa:11257	TP53TG1, LINC00096, NCRNA00096, P53TG1, P53TG1-D, TP53AP1, TP53LC12; TP53 target 1
hsa:94241	TP53INP1, SIP, TP53DINP1, TP53INP1A, TP53INP1B, Teap, p53DINP1; tumor protein p53-inducible nuclear protein 1 isoform a
hsa:5820	PVT1, LINC00079, MIR1204HG, NCRNA00079, TP53LC09, onco-lncRNA-100; Pvt1 oncogene, transcript variant 26
hsa:10210	TOPORS, LUN, P53BP3, RP31, TP53BPL; E3 ubiquitin-protein ligase Topors isoform 1
hsa:9536	PTGES, MGST-IV, MGST1-L1, MGST1L1, MPGES, PGES, PIG12, PP102, PP1294, TP53I12, mPGES-1; prostaglandin E synthase
hsa:338440	ANO9, PIG5, TMEM16J, TP53I5; anoctamin-9 isoform 1
hsa:6288	SAA1, PIG4, SAA, SAA2, TP53I4; serum amyloid A-1 protein preproprotein
hsa:9537	TP53I11, PIG11; tumor protein p53-inducible protein 11 isoform a
hsa:283131	NEAT1, LINC00084, NCRNA00084, TP53LC15, TncRNA, VINC; nuclear paraspeckle assembly transcript 1, transcript variant MENbeta
hsa:9538	EI24, EPG4, PIG8, TP53I8; etoposide-induced protein 2.4 homolog isoform 1
hsa:63970	TP53AIP1, P53AIP1; p53-regulated apoptosis-inducing protein 1 isoform a
hsa:51499	TRIAP1, HSPC132, MDM35, P53CSV, WF-1; TP53-regulated inhibitor of apoptosis 1
hsa:7158	TP53BP1, 53BP1, TDRD30, p202, p53BP1; TP53-binding protein 1 isoform 3
hsa:9516	LITAF, PIG7, SIMPLE, TP53I7; lipopolysaccharide-induced tumor necrosis factor-alpha factor isoform 1
hsa:729264	TP53TG3D, TP53TG3, TP53TG3B, TP53TG3C, TP53TG3E, TP53TG3F; TP53-target gene 3 protein
hsa:24150	TP53TG3, P53TG3, TP53TG3A, TP53TG3E, TP53TG3F; TP53-target gene 3 protein
hsa:653550	TP53TG3C, TP53TG3, TP53TG3E, TP53TG3F; TP53-target gene 3 protein
hsa:102724101	TP53TG3E, TP53TG3, TP53TG3B, TP53TG3C, TP53TG3D, TP53TG3F; TP53-target gene 3 protein
hsa:729355	TP53TG3B, TP53TG3E, TP53TG3F; TP53-target gene 3 protein
hsa:102724127	TP53TG3F, TP53TG3, TP53TG3B, TP53TG3C, TP53TG3D, TP53TG3E; TP53-target gene 3 protein
hsa:102723655	TP53TG3, TP53TG3B, TP53TG3C, TP53TG3D, TP53TG3E, TP53TG3F; tP53-target gene 3 protein
hsa:102723713	TP53TG3, TP53TG3A, TP53TG3B, TP53TG3C, TP53TG3D, TP53TG3E, TP53TG3F; tP53-target gene 3 protein
hsa:7157	TP53, BCC7, BMFS5, LFS1, P53, TRP53; cellular tumor antigen p53 isoform a
hsa:90313	TP53I13, DSCP1; tumor protein p53-inducible protein 13 isoform a precursor
hsa:2593	GAMT, CCDS2, HEL-S-20, PIG2, TP53I2; guanidinoacetate N-methyltransferase isoform a
hsa:58476	TP53INP2, C20orf110, DOR, PIG-U, PIGU, PINH, dJ1181N3.1; tumor protein p53-inducible nuclear protein 2
hsa:27296	TP53TG5, C20orf10, CLG01; TP53-target gene 5 protein
hsa:112858	TP53RK, BUD32, C20orf64, GAMOS4, Nori-2, Nori-2p, PRPK, TPRKB, dJ101A2; EKC/KEOPS complex subunit TP53RK
hsa:5625	PRODH, HSPOX2, PIG6, POX, PRODH1, TP53I6; proline dehydrogenase 1, mitochondrial isoform 1 precursor
